,crh1,crh2,crh3,crh4,crh5,crh6,crh7,crh8,crh9,crh10,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rf8,rf9,rf10
163,32.0,32.0,32.0,36.0,30.0,33.0,31.0,21.0,20.0,32.0,18.109999,75.35,62.28,75.725,44.894997,31.484997,5.505,7.8249993,2.2500002,12.905001
164,23.0,16.0,8.0,15.0,22.0,10.0,6.0,15.0,1.0,12.0,14.59,30.335,5.5649996,17.664999,30.35,2.6000001,1.9299998,4.93,0.325,4.88
165,29.0,26.0,19.0,21.0,31.0,18.0,17.0,8.0,0.0,28.0,10.660002,11.694999,3.815,75.88,35.210003,4.2699995,10.47,2.745,0.0,30.260002
166,36.0,5.0,0.0,13.0,31.0,13.0,11.0,9.0,10.0,2.0,23.25,0.74,0.0,71.33,56.365,9.579999,4.95,4.335,4.24,0.84000003
167,9.0,18.0,22.0,33.0,9.0,10.0,7.0,7.0,16.0,20.0,9.605,7.91,52.399994,57.494995,1.9999999,5.2650003,5.1949997,3.025,18.58,15.695
168,0.0,12.0,24.0,2.0,2.0,1.0,0.0,0.0,10.0,15.0,0.0,19.315002,51.175003,0.38,0.39499998,0.13,0.0,0.0,20.605,8.4
169,18.0,5.0,10.0,8.0,13.0,0.0,13.0,5.0,6.0,7.0,29.204998,1.48,21.49,8.105,8.11,0.0,18.345001,1.14,5.71,6.4399996
170,7.0,16.0,14.0,16.0,10.0,10.0,12.0,11.0,8.0,8.0,0.31,0.9499999,0.89,21.980001,1.3749999,0.885,0.995,1.435,0.635,0.65500003
171,14.0,16.0,10.0,10.0,12.0,11.0,8.0,8.0,11.0,6.0,0.89,21.980001,1.3749999,0.885,0.995,1.435,0.635,0.65500003,1.08,1.245
172,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074999996,0.13,0.0,0.10000001,0.0
173,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,11.0,26.0,0.0,0.0,0.0,0.17999999,0.0,0.16999999,0.0,3.0149999,8.25,16.315002
174,2.0,0.0,6.0,1.0,0.0,3.0,2.0,5.0,4.0,22.0,0.145,0.0,2.84,0.074999996,0.0,0.16,0.105000004,10.014999,1.69,42.059998
175,0.0,5.0,21.0,25.0,19.0,20.0,11.0,31.0,32.0,13.0,0.0,0.96,24.79,34.374996,45.599995,16.005001,5.5499997,19.819998,22.529999,9.284999
176,10.0,4.0,28.0,12.0,19.0,28.0,29.0,32.0,35.0,30.0,2.9099998,0.69500005,8.599999,5.065,12.73,10.475,28.8,16.499996,16.755,22.505
